#x y
     3.777	    0.55364254 (4.46357458e-01)      0.2927
     3.804	    0.55881919 (4.41180806e-01)      0.2908
     3.834	    0.56453326 (4.35466742e-01)      0.2889
     3.863	    0.57020695 (4.29793052e-01)      0.2868
     3.893	    0.57583966 (4.24160339e-01)      0.2847
     3.922	    0.58143082 (4.18569178e-01)      0.2826
     3.952	    0.58697988 (4.13020118e-01)      0.2805
     3.982	    0.59248632 (4.07513677e-01)      0.2783
     4.011	    0.59794965 (4.02050346e-01)      0.2761
     4.041	    0.60336941 (3.96630590e-01)      0.2739
     4.073	    0.60928029 (3.90719707e-01)      0.2715
     4.103	    0.61460715 (3.85392847e-01)      0.2691
     4.136	    0.62041489 (3.79585111e-01)      0.2667
     4.168	    0.62616789 (3.73832110e-01)      0.2642
     4.198	    0.63135003 (3.68649974e-01)      0.2618
      4.23	    0.63699735 (3.63002651e-01)      0.2593
     4.263	    0.64258876 (3.57411238e-01)      0.2567
     4.295	    0.64812393 (3.51876070e-01)      0.2541
     4.331	    0.65409779 (3.45902209e-01)      0.2514
     4.363	    0.65951441 (3.40485588e-01)      0.2487
     4.396	    0.66487395 (3.35126046e-01)       0.246
     4.432	    0.67065539 (3.29344612e-01)      0.2432
     4.467	    0.67636842 (3.23631577e-01)      0.2403
     4.503	    0.68201287 (3.17987125e-01)      0.2374
     4.538	     0.6875886 (3.12411403e-01)      0.2345
     4.574	    0.69309548 (3.06904515e-01)      0.2316
     4.609	    0.69853347 (3.01466531e-01)      0.2286
     4.648	    0.70434683 (2.95653172e-01)      0.2256
     4.683	     0.7096412 (2.90358798e-01)      0.2226
     4.722	    0.71529904 (2.84700963e-01)      0.2195
      4.76	    0.72087612 (2.79123882e-01)      0.2164
     4.799	    0.72637258 (2.73627417e-01)      0.2132
      4.84	    0.73220191 (2.67798094e-01)      0.2099
     4.878	    0.73753156 (2.62468439e-01)      0.2067
      4.92	    0.74318181 (2.56818195e-01)      0.2034
     4.961	    0.74873972 (2.51260278e-01)      0.2001
     5.003	    0.75420573 (2.45794267e-01)      0.1967
     5.047	    0.75996072 (2.40039280e-01)      0.1933
     5.092	    0.76561137 (2.34388627e-01)      0.1897
     5.136	    0.77115838 (2.28841624e-01)      0.1862
      5.18	    0.77660246 (2.23397535e-01)      0.1827
     5.228	    0.78229694 (2.17703059e-01)      0.1791
     5.275	    0.78787622 (2.12123779e-01)      0.1755
     5.322	    0.79334137 (2.06658633e-01)      0.1719
     5.373	    0.79902427 (2.00975727e-01)      0.1681
     5.423	    0.80458098 (1.95419018e-01)      0.1644
     5.476	    0.81032862 (1.89671383e-01)      0.1605
      5.53	    0.81593818 (1.84061822e-01)      0.1566
     5.583	    0.82141151 (1.78588492e-01)      0.1528
     5.639	    0.82704321 (1.72956790e-01)      0.1489
     5.695	    0.83252752 (1.67472480e-01)       0.145
