 1.27041657E-01   6709.0 1.270E+03 1.017E+13 2.017E-01 2.881E+00 2.000E+05
 1.47488496E-01   6759.6 1.475E+03 1.199E+13 2.335E-01 3.165E+00 2.000E+05
 1.70985529E-01   6813.6 1.709E+03 1.418E+13 2.716E-01 3.511E+00 2.000E+05
 1.97847570E-01   6872.2 1.978E+03 1.685E+13 3.178E-01 3.940E+00 2.000E+05
 2.28332598E-01   6937.2 2.283E+03 2.019E+13 3.751E-01 4.481E+00 2.000E+05
 2.62583075E-01   7010.7 2.625E+03 2.443E+13 4.479E-01 5.179E+00 2.000E+05
 3.00560184E-01   7095.1 3.005E+03 2.992E+13 5.428E-01 6.101E+00 2.000E+05
 3.41931882E-01   7194.0 3.418E+03 3.723E+13 6.714E-01 7.369E+00 2.000E+05
 3.86030405E-01   7310.1 3.859E+03 4.715E+13 8.498E-01 9.143E+00 2.000E+05
 4.31882618E-01   7447.3 4.317E+03 6.091E+13 1.105E+00 1.171E+01 2.000E+05
 4.78145660E-01   7610.0 4.779E+03 8.044E+13 1.485E+00 1.554E+01 2.000E+05
 5.23149422E-01   7803.6 5.228E+03 1.088E+14 2.079E+00 2.148E+01 2.000E+05
 5.65140156E-01   8032.3 5.647E+03 1.505E+14 3.035E+00 3.099E+01 2.000E+05
 6.02610756E-01   8301.7 6.020E+03 2.127E+14 4.642E+00 4.666E+01 2.000E+05
 6.34543542E-01   8614.9 6.337E+03 3.050E+14 7.408E+00 7.294E+01 2.000E+05
 6.60850660E-01   8973.0 6.598E+03 4.390E+14 1.216E+01 1.165E+02 2.000E+05
 6.82032955E-01   9379.9 6.807E+03 6.283E+14 2.021E+01 1.902E+02 2.000E+05
 6.98850635E-01   9876.6 6.971E+03 9.011E+14 3.408E+01 3.126E+02 2.000E+05
 7.12597084E-01  10409.5 7.103E+03 1.215E+15 5.203E+01 4.271E+02 2.000E+05
 7.25847085E-01  10868.3 7.230E+03 1.469E+15 6.699E+01 4.758E+02 2.000E+05
 7.40288781E-01  11355.5 7.367E+03 1.688E+15 7.783E+01 5.469E+02 2.000E+05
 7.57966368E-01  11987.6 7.533E+03 1.867E+15 7.960E+01 6.508E+02 2.000E+05
 7.83610884E-01  12906.6 7.773E+03 1.958E+15 6.666E+01 5.997E+02 2.000E+05
 8.26581702E-01  13802.6 8.180E+03 1.992E+15 5.084E+01 4.470E+02 2.000E+05
 9.03671069E-01  14835.6 8.922E+03 2.053E+15 3.730E+01 3.287E+02 2.000E+05
 1.03938785E+00  15880.5 1.024E+04 2.222E+15 2.932E+01 2.556E+02 2.000E+05
 1.26139751E+00  17064.5 1.241E+04 2.537E+15 2.479E+01 2.166E+02 2.000E+05
 1.59574307E+00  18285.7 1.568E+04 3.033E+15 2.275E+01 1.977E+02 2.000E+05
 2.07492356E+00  19656.5 2.038E+04 3.706E+15 2.147E+01 1.869E+02 2.000E+05
 2.73914379E+00  21085.7 2.690E+04 4.585E+15 2.097E+01 1.817E+02 2.000E+05
 3.63979969E+00  22660.3 3.575E+04 5.685E+15 2.075E+01 1.798E+02 2.000E+05
 4.83516015E+00  24327.9 4.749E+04 7.043E+15 2.105E+01 1.752E+02 2.000E+05
PRADK 8.5185E+00
BEGIN                    ITERATION  15 COMPLETED
